Time,Price,First_Derivative,Second_Derivative,Labels
0,50000.0,254.0000601587526,-159.20834077523614,1.0
1,50254.00006015875,94.79171938351647,-171.19809819682632,1.0
2,50189.58343876703,-88.39613623490004,-103.51873151427026,1.0
3,50077.20778768895,-112.24574364502405,216.2678058859983,1.0
4,49965.091951476985,344.1394755370966,355.27323184785746,1.0
5,50765.486738763146,598.3007200506909,-131.651986642275,-1.0
6,51161.69339157837,80.83550225254658,-287.238767203462,-1.0
7,50927.15774326824,23.82318564376692,62.425479658328186,-1.0
8,51209.3397628659,205.68646156920295,-221.58291605197337,-1.0
9,51338.530666406645,-419.3426464601798,-470.46433753038946,-1.0
10,50370.65446994554,-735.242213491576,124.50882572173396,-1.0
11,49868.04623942349,-170.3249950167119,594.0459550639953,-1.0
12,50030.00447991212,452.8496966364146,243.73788692244852,-1.0
13,50773.74563269632,317.15077882818514,-321.28954421290837,-1.0
14,50664.30603756849,-189.72939178940214,-210.8364526444875,-1.0
15,50394.28684911752,-104.52212646078988,35.825941981212964,-1.0
16,50455.26178464691,-118.07750782697622,-57.29480038998736,-1.0
17,50158.131833463565,-219.1117272407646,23.328083676153256,-1.0
18,50017.03833016538,-71.4213404746697,-21.201462735363748,-1.0
19,50015.289152514226,-261.5146527114921,8.835617224662201,-1.0
20,49494.009024742394,-53.7501060253453,84.03695050453825,1.0
21,49907.788940463535,-93.44075170241558,-284.7139513521852,-1.0
22,49307.12752133756,-623.1780087297157,-89.51181665157674,1.0
23,48661.432923004104,-272.46438500556906,428.3649639250689,1.0
24,48762.198751326425,233.5519191204221,250.11280357947726,1.0
25,49128.53676124495,227.76122215338546,-107.47240581760525,1.0
26,49217.721195633196,18.6071074852116,-162.60196628514677,1.0
27,49165.75097621537,-97.44271041690808,-100.13707538016752,1.0
28,49022.83577479938,-181.66704327512343,124.50914272940645,1.0
29,48802.416889665124,151.5755750419048,262.99247811879286,1.0
30,49325.98692488319,344.3179129624623,-80.84245666913739,1.0
31,49491.05271559005,-10.10933829636997,-300.4143048726237,1.0
32,49305.76824829045,-256.5106967827851,-0.5212557325648959,1.0
33,48978.03132202448,-11.151849761499761,333.5437291379076,1.0
34,49283.46454876745,410.57676149303006,252.2467212281972,1.0
35,49799.18484501054,493.34159269489464,-191.32899576498858,1.0
36,50270.14773415724,27.91876996305291,-387.6894957129498,1.0
37,49855.022384936645,-282.03739873100494,-109.3622138679566,1.0
38,49706.07293669523,-190.8056577728603,61.14618141169012,1.0
39,49473.411069390924,-159.7450359076247,175.6689298135061,1.0
40,49386.58286487998,160.53220185415194,353.09083022712184,1.0
41,49794.47547309923,546.436624546619,137.96627696769065,1.0
42,50479.45611397322,436.4647557895332,-306.4258332617046,1.0
43,50667.404984678295,-66.41504197679023,-301.6773316727158,1.0
44,50346.62603001964,-166.8899075558984,229.66936483897553,1.0
45,50333.6251695665,392.9236877011608,295.5686759347209,1.0
46,51132.47340542196,424.2474443135434,-220.9768168817518,-1.0
47,51182.120058193585,-49.02994606234279,-275.77353765853877,-1.0
48,51034.41351329727,-127.29963100353416,44.618026457117594,-1.0
49,50927.520796186516,40.2061068518924,8.84519274637023,-1.0
50,51114.82572700106,-109.6092455107937,-183.92129021749133,-1.0
51,50708.30230516493,-327.63647358309026,109.89750398274373,1.0
52,50459.55277983488,110.18576245469376,324.3019961331993,1.0
53,50928.673830074316,320.9675186833083,1.7974972442207218,-1.0
54,51101.487817201494,113.7807569431352,-21.02295776127903,-1.0
55,51156.23534396059,278.92160316075024,-20.185400565937016,-1.0
56,51659.331023522995,73.40995581126117,-269.2076967779394,-1.0
57,51303.05525558311,-259.4937903951286,-38.18522540590493,-1.0
58,51140.34344273274,-2.96049500054869,203.75265085164756,-1.0
59,51297.13426558201,148.01151130816652,-143.1656634927458,-1.0
60,51436.36646534907,-289.2918219860403,-305.42129365264555,-1.0
61,50718.55062160993,-462.8310759971246,73.59490773527432,1.0
62,50510.70431335482,-142.10200651549167,264.64030180727787,1.0
63,50434.34660857895,66.44952761743116,157.28483877069084,1.0
64,50643.603368589684,172.46767102589,-7.483775928125397,1.0
65,50779.28195063073,51.481975761180365,-334.27496507669457,1.0
66,50746.567320112044,-496.0822591274991,-267.65873574777834,1.0
67,49787.11743237573,-483.8354957343763,254.72887924338647,1.0
68,49778.89632864329,13.375499359273817,562.5056094203646,1.0
69,49813.86843109428,641.175723106353,281.8993532015138,1.0
70,51061.247774856,577.1742057623014,-304.08616079008243,1.0
71,50968.21684261888,33.0034015261881,-100.62338018876835,1.0
72,51127.254577908374,375.9274453847647,230.5969418120403,1.0
73,51720.07173338841,494.1972851502687,96.30878516136363,1.0
74,52115.64914820891,568.545015707492,-244.3696793876261,-1.0
75,52857.16176480339,5.457926375016541,-594.0772530539689,-1.0
76,52126.565000958944,-619.6094904004458,-201.47257239032842,-1.0
77,51617.9427840025,-397.4872184056403,42.02017394801442,-1.0
78,51331.590564147664,-535.569142504417,12.47876203179294,-1.0
79,50546.80449899367,-372.5296943420544,163.22608660668993,-1.0
80,50586.531175463555,-209.1169692910371,268.80064057118943,-1.0
81,50128.570560411594,165.07158680032444,203.53528927821026,1.0
82,50916.674349064204,197.95360926538342,-219.94036027894435,-1.0
83,50524.47777894236,-274.80913375756427,-34.20873530748577,-1.0
84,50367.056081549075,129.53613865041189,87.47082865100492,1.0
85,50783.550056243184,-99.86747645555442,-417.5871170440005,-1.0
86,50167.32112863797,-705.6380954375891,-124.78089278192056,1.0
87,49372.273865368006,-349.42926201939554,410.2880293673297,1.0
88,49468.462604599175,114.93796329707038,306.71649427670854,1.0
89,49602.14979196215,264.00372653402155,107.77623880687315,1.0
90,49996.47005766722,330.4904409108167,-26.702412029091647,1.0
91,50263.13067378378,210.59890247583826,-210.7813367475046,1.0
92,50417.667862618895,-91.07223258419253,-159.1023361936641,1.0
93,50080.986208615395,-107.60576991148992,113.99880015089002,1.0
94,50202.456322795915,136.9253677175875,3.5408261906704865,1.0
95,50354.83694405057,-100.52411753014894,79.87147733007441,1.0
96,50001.40808773562,296.66832237773633,348.7287673285118,1.0
97,50948.17358880604,596.9334171268747,-209.4330606919666,1.0
98,51195.27492198937,-122.19779900619687,-319.89918818014667,1.0
99,50703.77799079365,-42.86495923341863,287.51995295676534,1.0
100,51109.54500352253,452.8421069073338,201.07599407375528,1.0
101,51609.46220460832,359.28702891409193,-202.22027979738778,-1.0
102,51828.11906135071,48.40154731255825,-305.8898759287131,-1.0
103,51706.26529923343,-252.49272294333423,-128.5904816202892,-1.0
104,51323.133615464045,-208.77941592802017,162.7440471300706,1.0
105,51288.70646737739,72.995371316807,152.45423914959065,1.0
106,51469.12435809766,96.12906237116113,156.20784585242654,1.0
107,51480.964592119715,385.4110630216601,224.96343175475522,1.0
108,52239.94648414098,546.0559258806716,-220.296937620049,-1.0
109,52573.07644388106,-55.1828122184379,-521.4307553693197,-1.0
110,52129.5808597041,-496.8055848579679,-46.277204663376324,-1.0
111,51579.46527416512,-147.73722154519055,284.43094886347353,-1.0
112,51834.10641661372,72.05631286897915,140.19594454462276,-1.0
113,51723.57789990308,132.65466754405497,121.02462383412967,-1.0
114,52099.41575170183,314.1055605372385,-11.454448728147327,-1.0
115,52351.78902097756,109.74577008776032,-274.2668828468177,-1.0
116,52318.90729187735,-234.42820515639687,-357.59495905518816,-1.0
117,51882.932610664764,-605.444148022616,-47.84972703731364,-1.0
118,51108.01899583212,-330.12765923102415,174.11575643634023,-1.0
119,51222.677292202716,-257.2126351499355,-102.25450313919464,-1.0
120,50593.59372553225,-534.6366655094134,39.10411920131264,1.0
121,50153.40396118389,-179.00439674731024,296.4327597728079,1.0
122,50235.58493203763,58.22885403620239,-43.51071167313239,1.0
123,50269.861669256294,-266.025820093575,-34.130239207817795,1.0
124,49703.53329185048,-10.031624379433197,403.9321466068941,1.0
125,50249.79842049743,541.8384731202132,206.2067658283031,1.0
126,50787.210238090905,402.381907277173,-137.0516888163438,1.0
