First_Derivative,Second_Derivative,Label
64.24480509357906,7171.929544962222,0.0
515.3215052040276,6230.572373113985,0.0
847.9853614513133,1790.757804287382,0.0
740.580026217354,-2346.3178932472792,1.0
552.8432170504352,-4707.549896634227,1.0
148.41969902322103,-2789.1725903200163,1.0
201.99460366331346,2345.637086242541,1.0
443.4762050543454,3735.3507349851006,1.0
671.8624886527198,-780.0014835083712,1.0
345.3602118459755,-3150.671742675765,1.0
275.5410792167586,2061.7991872101748,1.0
604.7128917145196,-20.714054262908576,1.0
272.9354687783825,-2616.1551339975276,1.0
275.6280568949851,713.7354280824875,1.0
362.7158882967292,1338.3503936847478,1.0
443.9784779051556,1250.5372838761418,1.0
520.0203425135628,-391.4790684102459,1.0
394.7345233365145,-3685.1909833969557,1.0
56.46202737781914,-1780.0432763459237,1.0
170.8237773889582,2621.8384388657378,1.0
386.2617622502885,-1165.1346937087553,1.0
24.262071915562046,-2560.867999146684,1.0
64.13146823897932,-95.69994573193654,1.0
12.224024009239656,-1004.1091881310713,1.0
-62.174920102746,476.7728053916203,1.0
72.19703473395202,-1919.5154143085206,1.0
-303.62979594034596,-955.5553324089838,1.0
-48.00178858515392,2848.3392311291,1.0
54.661359352817726,89.58355194186595,1.0
-36.733118768815075,-887.0848657674321,1.0
-56.92459850126215,-4319.082206523571,1.0
-580.0282911517897,-2770.280452935597,1.0
-405.39677945524863,4954.577985742237,1.0
43.20557477996408,2046.5487685202656,1.0
-147.9624420619948,-2695.607071059405,1.0
-295.87347913014264,441.2474830958299,1.0
-92.4581437112879,-420.19741163484105,1.0
-348.7298996085997,-5069.203147952307,1.0
-730.1106509850115,-2003.611050067323,1.0
-600.7631230537613,5054.546043295554,1.0
-94.30185351359205,841.5182734727823,1.0
-494.90896386242343,-6916.062671677341,1.0
-964.2698887931983,746.0982048778305,1.0
-401.05764697350537,6716.6041109664075,1.0
-119.39164526634863,506.4394501135466,1.0
-337.3528839719165,-3649.2867994227445,1.0
-578.4335912086398,-1938.8080051206507,1.0
-581.234565077347,-848.4950599023623,1.0
-685.1653568461371,1201.0933649101871,0.0
-430.1496364896708,1091.8615034619615,0.0
-547.8206490177674,-277.20688853980437,0.0
-465.01935118681337,3481.6580732842453,0.0
-109.86463599108492,-655.4068312504369,0.0
-547.4626459283066,-4806.523955708573,0.0
-714.4748601575444,-1730.3981858224433,-1.0
-765.1285609779524,519.3906403741785,-1.0
-649.1409734651393,2936.133191630069,-1.0
-395.79384767319993,2037.7633722747514,-1.0
-392.81174663459865,-1005.214074416057,-1.0
-522.2392191034528,87.97715081226488,-1.0
-381.7451452061473,498.90757116721807,-1.0
-459.48188735573467,-1276.7238793067372,-1.0
-542.3435980547038,2085.777313983832,-1.0
-197.1130110139561,4545.673081595614,-1.0
29.454326220038183,-2355.4638371246247,-1.0
-493.4056190823044,-3159.011217620985,-1.0
-367.91610156316983,3170.7243536392834,-1.0
-94.56180182699381,-668.9164086044307,-1.0
-452.05875922633595,-3130.039086450832,-1.0
-488.2878398427283,1394.9271384502567,-1.0
-276.59157802720347,4874.349753963106,-1.0
124.85415727750387,3842.9542125047697,-1.0
206.81169412843474,-3091.6650090492094,-1.0
-264.044824896263,-4593.562207843963,-1.0
-371.0101791836955,4117.384935255431,-1.0
253.87894946208235,6521.320221164411,-1.0
449.3034023384889,-842.1475330869666,-1.0
147.9456360212571,-3213.8545693709584,-1.0
45.034256999480476,-1657.4030517796753,-1.0
-60.53825793303076,-1269.8557979003103,-1.0
-114.7002633529537,6910.326217197919,-1.0
808.7081916308653,3897.0825380119177,-1.0
375.5117835680394,-9406.557825365362,-1.0
-374.5379729230981,-77.98112008709222,-1.0
365.70257780292286,5150.5730842022895,-1.0
273.3500175917188,-164.1698250023669,-1.0
345.0517383166966,2364.4267208265906,-1.0
570.7700622804145,-495.1018493346651,-1.0
282.77312639883894,-2745.2704196868176,-1.0
225.44388079471264,2465.0975198448245,-1.0
592.856500121633,2975.81000345138,-1.0
599.7695202470354,-1799.9735910767495,-1.0
366.4387299361563,-2617.0160728425144,-1.0
270.5763883644165,2118.6759312531376,-1.0
632.9459067514733,2627.522096430424,-1.0
601.0910676553403,-2654.6528674341216,-1.0
299.01846145969273,-1413.2810632459673,-1.0
423.3151555131477,3083.3900544360745,-1.0
686.8765412662252,3613.529589822224,0.0
877.8592200943222,-1404.8203035939923,0.0
510.16490381339315,-3581.003090624515,0.0
427.4066474421396,1788.603320503748,0.0
735.1524133982193,2455.853626341978,0.0
736.327236463478,-1147.349616456032,1.0
590.8278838223478,-535.4955521302709,1.0
668.9675210439564,350.14131717602504,1.0
634.8719835123757,335.2582224977414,1.0
711.1394837608541,-2985.3766278197922,1.0
259.3429632057828,-4586.077995236514,1.0
134.2590457778815,3844.6717438840246,1.0
742.962282767347,4642.799874343224,1.0
718.2745003253972,-3338.632185475668,1.0
322.99742403145365,-4758.337964445044,1.0
119.72556769684661,-185.41786725424527,1.0
299.67380402704566,3316.2811394712894,1.0
536.878899628834,1644.517750436808,1.0
506.5368624242533,-219.85897326720396,1.0
509.2229502697937,-3938.222187846849,1.0
11.149879699775738,-3191.1444469053677,1.0
107.81049978163719,4738.421665060478,1.0
607.1935510737449,-271.42205886173485,1.0
73.66845589207242,-4014.8018075334153,1.0
102.17365661265103,2200.980681842513,1.0
350.52870577273006,-2124.5707847592757,1.0
-165.0750308520619,-3336.8548825247326,1.0
-69.21258692135325,2309.513519004763,1.0
125.43750987553176,-636.9058109553972,1.0
-149.32864765113482,-710.8504147273804,1.0
36.01999473202977,-2240.3299755523317,1.0
-431.13862534132295,-2349.1432979807228,1.0
-259.4775559052614,2398.7449153499474,1.0
-129.4017122722862,-1604.6656219878187,1.0
-461.3276351647237,-1930.1822151110005,1.0
-372.1983596029231,-411.9479474945433,1.0
-513.1463597096849,1738.7296727953735,1.0
-153.48443100902614,4964.889171678439,1.0
111.38454510043039,-3999.515520403106,1.0
-656.5814711217772,-7962.68117493827,1.0
-890.237103831033,3392.525085771208,1.0
-229.83745163917456,2126.5050737650645,1.0
-622.7451031278315,-2161.410887081024,1.0
-501.72023699422334,3935.200721988831,1.0
-127.73818906971474,-1698.84782184297,1.0
-715.4174476716282,-7066.246109617278,1.0
-1016.5977232611372,2551.509784764058,1.0
-394.46431872759194,5159.408184854732,1.0
-367.59836989133487,-4717.383262594853,1.0
-987.8615800663267,-3438.6376812957888,1.0
-800.1428695075615,3453.657179833679,0.0
-553.4277853042358,2191.0474339392867,0.0
-524.5321178707028,226.51146448954205,0.0
-524.9350224295938,-1112.1073184573852,0.0
-664.4235365561561,141.7773719114116,0.0
-507.1009183238101,-717.9495699908721,-1.0
-754.7340508597217,-4179.553561146046,-1.0
-1032.8448527775274,1211.5686135680908,-1.0
-602.3314460266902,5428.068972698549,-1.0
-350.0507944068272,2667.753110913239,-1.0
-266.7561277149216,-2117.738264287449,-1.0
-616.4400225674481,-4578.805960512038,-1.0
-842.7218201176356,-65.59160957893255,-1.0
-624.6907580545349,1080.4769721900593,-1.0
-706.8091667360436,2616.48385665021,-1.0
-295.5645733783308,6146.620799773967,-1.0
66.37116355312446,-2517.6068380161073,-1.0
-612.2530677502587,-5622.722333190569,-1.0
-640.9082428583715,4478.991139958914,-1.0
-48.84303128222837,3522.439439981344,-1.0
-197.82236228337933,-1448.8761273801374,-1.0
-231.09642858909956,252.41819553871255,-1.0
-166.07080477640284,1823.9916296417673,-1.0
-1.6574414462811546,3152.0263099981057,-1.0
230.42099499984852,-2132.8994716225016,-1.0
-269.9537902308357,-3975.3292518036956,-1.0
-269.6336665844028,1398.6082261747697,-1.0
-94.02356686343046,2248.2341874036515,-1.0
13.170577927979139,2093.997411272802,-1.0
169.37931137043051,2777.7387582038577,-1.0
362.5809353399891,-2188.5818323030903,-1.0
-105.92129348013896,-1374.8146420120574,-1.0
189.64369492388505,6772.639441678769,-1.0
746.0056060350034,-1853.7953071934635,-1.0
-43.544281786355896,-6671.0886139697795,-1.0
-93.14726608088768,4472.167977779032,-1.0
519.0074725524037,5051.489151928623,-1.0
542.2770065672657,-3243.043696705314,-1.0
111.06664160787022,126.3028557628113,-1.0
558.164579091489,7643.461146405156,-1.0
1072.533764152241,199.35393993393336,-1.0
583.2412106495003,-9228.565224374432,-1.0
-88.32280089556389,-294.33756306700434,-1.0
546.2166370436212,8031.163299997459,-1.0
921.9131800074267,543.342552921149,-1.0
614.5634227349235,-3894.7636082006475,-1.0
431.9928300978422,-931.0679560560093,-1.0
497.4448541367874,2041.061318785401,-1.0
688.7369039565964,1323.6357375268103,-1.0
663.9443259703394,-521.2500686845324,-1.0
623.169120714854,20.633610055251665,0.0
666.5398173724036,-1176.8712452808177,0.0
475.13108033866047,-4139.37449498812,0.0
145.8499873859471,-3283.9150946333325,0.0
62.04905686267148,-3267.1500639556843,0.0
-265.1231713367242,1458.1649862559862,0.0
245.4708950425997,5883.031155165141,0.0
474.90035050138744,-2237.601569042121,0.0
-35.99587776873807,-2865.5076054275164,0.0
114.44959406430041,1672.4633330622073,0.0
174.38244137226593,-1767.8157548967765,0.0
-107.92305812724055,410.5898550824302,0.0
226.03033215768687,4156.132982771347,0.0
414.8748135851442,-1023.7310557482737,1.0
97.2557189849091,-3919.6454156136197,1.0
-78.17540632951011,-2094.692254495336,1.0
-166.23456322746506,3813.5534309802856,1.0
401.52955634673765,3127.604884357424,1.0
227.18527773462745,-3507.839678759734,1.0
-39.71982762773496,881.5860881626427,1.0
338.0795471271698,-36.89353982352509,1.0
-44.36064739446056,-4614.811843391177,1.0
-242.41530712294752,2917.19701698447,1.0
322.5920940522881,2956.1720288557854,1.0
129.4400814096432,-3112.3552846344433,1.0
