First_Derivative,Label
64.24480509357906,0.0
515.3215052040276,0.0
847.9853614513133,0.0
740.580026217354,1.0
552.8432170504352,1.0
148.41969902322103,1.0
201.99460366331346,1.0
443.4762050543454,1.0
671.8624886527198,1.0
345.3602118459755,1.0
275.5410792167586,1.0
604.7128917145196,1.0
272.9354687783825,1.0
275.6280568949851,1.0
362.7158882967292,1.0
443.9784779051556,1.0
520.0203425135628,1.0
394.7345233365145,1.0
56.46202737781914,1.0
170.8237773889582,1.0
386.2617622502885,1.0
24.262071915562046,1.0
64.13146823897932,1.0
12.224024009239656,1.0
-62.174920102746,1.0
72.19703473395202,1.0
-303.62979594034596,1.0
-48.00178858515392,1.0
54.661359352817726,1.0
-36.733118768815075,1.0
-56.92459850126215,1.0
-580.0282911517897,1.0
-405.39677945524863,1.0
43.20557477996408,1.0
-147.9624420619948,1.0
-295.87347913014264,1.0
-92.4581437112879,1.0
-348.7298996085997,1.0
-730.1106509850115,1.0
-600.7631230537613,1.0
-94.30185351359205,1.0
-494.90896386242343,1.0
-964.2698887931983,1.0
-401.05764697350537,1.0
-119.39164526634863,1.0
-337.3528839719165,1.0
-578.4335912086398,1.0
-581.234565077347,1.0
-685.1653568461371,0.0
-430.1496364896708,0.0
-547.8206490177674,0.0
-465.01935118681337,0.0
-109.86463599108492,0.0
-547.4626459283066,0.0
-714.4748601575444,-1.0
-765.1285609779524,-1.0
-649.1409734651393,-1.0
-395.79384767319993,-1.0
-392.81174663459865,-1.0
-522.2392191034528,-1.0
-381.7451452061473,-1.0
-459.48188735573467,-1.0
-542.3435980547038,-1.0
-197.1130110139561,-1.0
29.454326220038183,-1.0
-493.4056190823044,-1.0
-367.91610156316983,-1.0
-94.56180182699381,-1.0
-452.05875922633595,-1.0
-488.2878398427283,-1.0
-276.59157802720347,-1.0
124.85415727750387,-1.0
206.81169412843474,-1.0
-264.044824896263,-1.0
-371.0101791836955,-1.0
253.87894946208235,-1.0
449.3034023384889,-1.0
147.9456360212571,-1.0
45.034256999480476,-1.0
-60.53825793303076,-1.0
-114.7002633529537,-1.0
808.7081916308653,-1.0
375.5117835680394,-1.0
-374.5379729230981,-1.0
365.70257780292286,-1.0
273.3500175917188,-1.0
345.0517383166966,-1.0
570.7700622804145,-1.0
282.77312639883894,-1.0
225.44388079471264,-1.0
592.856500121633,-1.0
599.7695202470354,-1.0
366.4387299361563,-1.0
270.5763883644165,-1.0
632.9459067514733,-1.0
601.0910676553403,-1.0
299.01846145969273,-1.0
423.3151555131477,-1.0
686.8765412662252,0.0
877.8592200943222,0.0
510.16490381339315,0.0
427.4066474421396,0.0
735.1524133982193,0.0
736.327236463478,1.0
590.8278838223478,1.0
668.9675210439564,1.0
634.8719835123757,1.0
711.1394837608541,1.0
259.3429632057828,1.0
134.2590457778815,1.0
742.962282767347,1.0
718.2745003253972,1.0
322.99742403145365,1.0
119.72556769684661,1.0
299.67380402704566,1.0
536.878899628834,1.0
506.5368624242533,1.0
509.2229502697937,1.0
11.149879699775738,1.0
107.81049978163719,1.0
607.1935510737449,1.0
73.66845589207242,1.0
102.17365661265103,1.0
350.52870577273006,1.0
-165.0750308520619,1.0
-69.21258692135325,1.0
125.43750987553176,1.0
-149.32864765113482,1.0
36.01999473202977,1.0
-431.13862534132295,1.0
-259.4775559052614,1.0
-129.4017122722862,1.0
-461.3276351647237,1.0
-372.1983596029231,1.0
-513.1463597096849,1.0
-153.48443100902614,1.0
111.38454510043039,1.0
-656.5814711217772,1.0
-890.237103831033,1.0
-229.83745163917456,1.0
-622.7451031278315,1.0
-501.72023699422334,1.0
-127.73818906971474,1.0
-715.4174476716282,1.0
-1016.5977232611372,1.0
-394.46431872759194,1.0
-367.59836989133487,1.0
-987.8615800663267,1.0
-800.1428695075615,0.0
-553.4277853042358,0.0
-524.5321178707028,0.0
-524.9350224295938,0.0
-664.4235365561561,0.0
-507.1009183238101,-1.0
-754.7340508597217,-1.0
-1032.8448527775274,-1.0
-602.3314460266902,-1.0
-350.0507944068272,-1.0
-266.7561277149216,-1.0
-616.4400225674481,-1.0
-842.7218201176356,-1.0
-624.6907580545349,-1.0
-706.8091667360436,-1.0
-295.5645733783308,-1.0
66.37116355312446,-1.0
-612.2530677502587,-1.0
-640.9082428583715,-1.0
-48.84303128222837,-1.0
-197.82236228337933,-1.0
-231.09642858909956,-1.0
-166.07080477640284,-1.0
-1.6574414462811546,-1.0
230.42099499984852,-1.0
-269.9537902308357,-1.0
-269.6336665844028,-1.0
-94.02356686343046,-1.0
13.170577927979139,-1.0
169.37931137043051,-1.0
362.5809353399891,-1.0
