Second_Derivative,Label
7171.929544962222,0.0
6230.572373113985,0.0
1790.757804287382,0.0
-2346.3178932472792,1.0
-4707.549896634227,1.0
-2789.1725903200163,1.0
2345.637086242541,1.0
3735.3507349851006,1.0
-780.0014835083712,1.0
-3150.671742675765,1.0
2061.7991872101748,1.0
-20.714054262908576,1.0
-2616.1551339975276,1.0
713.7354280824875,1.0
1338.3503936847478,1.0
1250.5372838761418,1.0
-391.4790684102459,1.0
-3685.1909833969557,1.0
-1780.0432763459237,1.0
2621.8384388657378,1.0
-1165.1346937087553,1.0
-2560.867999146684,1.0
-95.69994573193654,1.0
-1004.1091881310713,1.0
476.7728053916203,1.0
-1919.5154143085206,1.0
-955.5553324089838,1.0
2848.3392311291,1.0
89.58355194186595,1.0
-887.0848657674321,1.0
-4319.082206523571,1.0
-2770.280452935597,1.0
4954.577985742237,1.0
2046.5487685202656,1.0
-2695.607071059405,1.0
441.2474830958299,1.0
-420.19741163484105,1.0
-5069.203147952307,1.0
-2003.611050067323,1.0
5054.546043295554,1.0
841.5182734727823,1.0
-6916.062671677341,1.0
746.0982048778305,1.0
6716.6041109664075,1.0
506.4394501135466,1.0
-3649.2867994227445,1.0
-1938.8080051206507,1.0
-848.4950599023623,1.0
1201.0933649101871,0.0
1091.8615034619615,0.0
-277.20688853980437,0.0
3481.6580732842453,0.0
-655.4068312504369,0.0
-4806.523955708573,0.0
-1730.3981858224433,-1.0
519.3906403741785,-1.0
2936.133191630069,-1.0
2037.7633722747514,-1.0
-1005.214074416057,-1.0
87.97715081226488,-1.0
498.90757116721807,-1.0
-1276.7238793067372,-1.0
2085.777313983832,-1.0
4545.673081595614,-1.0
-2355.4638371246247,-1.0
-3159.011217620985,-1.0
3170.7243536392834,-1.0
-668.9164086044307,-1.0
-3130.039086450832,-1.0
1394.9271384502567,-1.0
4874.349753963106,-1.0
3842.9542125047697,-1.0
-3091.6650090492094,-1.0
-4593.562207843963,-1.0
4117.384935255431,-1.0
6521.320221164411,-1.0
-842.1475330869666,-1.0
-3213.8545693709584,-1.0
-1657.4030517796753,-1.0
-1269.8557979003103,-1.0
6910.326217197919,-1.0
3897.0825380119177,-1.0
-9406.557825365362,-1.0
-77.98112008709222,-1.0
5150.5730842022895,-1.0
-164.1698250023669,-1.0
2364.4267208265906,-1.0
-495.1018493346651,-1.0
-2745.2704196868176,-1.0
2465.0975198448245,-1.0
2975.81000345138,-1.0
-1799.9735910767495,-1.0
-2617.0160728425144,-1.0
2118.6759312531376,-1.0
2627.522096430424,-1.0
-2654.6528674341216,-1.0
-1413.2810632459673,-1.0
3083.3900544360745,-1.0
3613.529589822224,0.0
-1404.8203035939923,0.0
-3581.003090624515,0.0
1788.603320503748,0.0
2455.853626341978,0.0
-1147.349616456032,1.0
-535.4955521302709,1.0
350.14131717602504,1.0
335.2582224977414,1.0
-2985.3766278197922,1.0
-4586.077995236514,1.0
3844.6717438840246,1.0
4642.799874343224,1.0
-3338.632185475668,1.0
-4758.337964445044,1.0
-185.41786725424527,1.0
3316.2811394712894,1.0
1644.517750436808,1.0
-219.85897326720396,1.0
-3938.222187846849,1.0
-3191.1444469053677,1.0
4738.421665060478,1.0
-271.42205886173485,1.0
-4014.8018075334153,1.0
2200.980681842513,1.0
-2124.5707847592757,1.0
-3336.8548825247326,1.0
2309.513519004763,1.0
-636.9058109553972,1.0
-710.8504147273804,1.0
-2240.3299755523317,1.0
-2349.1432979807228,1.0
2398.7449153499474,1.0
-1604.6656219878187,1.0
-1930.1822151110005,1.0
-411.9479474945433,1.0
1738.7296727953735,1.0
4964.889171678439,1.0
-3999.515520403106,1.0
-7962.68117493827,1.0
3392.525085771208,1.0
2126.5050737650645,1.0
-2161.410887081024,1.0
3935.200721988831,1.0
-1698.84782184297,1.0
-7066.246109617278,1.0
2551.509784764058,1.0
5159.408184854732,1.0
-4717.383262594853,1.0
-3438.6376812957888,1.0
3453.657179833679,0.0
